,Origin,Destination,ShortName,TimeRetr,Route,Dist,CurrentTime,TimeRange,url,nDist,nTime
35,10,23,BF_DR,2015-08-15 15:59:59.488256,I-94 E,35.8 miles,1 h 13 min,55 min - 1 h 31 min,"https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.8553953,-87.6805164,15354m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.6417362!2d41.847019!3s0x880e2c5cea843f17:0x5b90ac626c6a17cf!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0",35.8,73
2,10,24,Sky,2015-08-15 15:59:47.416425,I-90 E,66.2 miles,1 h 38 min,1 h 21 min - 1 h 56 min,"https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6562402,-87.4399829,36662m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.521294!2d41.6713761!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0",66.2,98
19,10,24,BF_DR,2015-08-15 15:59:53.566657,I-94 E,56.7 miles,1 h 36 min,1 h 17 min - 1 h 58 min,"https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.5576306,-87.6230552,30884m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5823486!2d41.5762083!3s0x880e21d589ede51b:0x929e14f726562377!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0",56.7,96
137,10,24,TRI,2015-08-15 16:00:37.127658,I-294 S,62.4 miles,1 h 22 min,1 h 18 min - 1 h 39 min,"https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.5819637,-87.6154883,10913m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5894024!2d41.577395!3s0x880e21d85f4e0f81:0x338534fa89809f87!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0",62.4,82
58,10,25,Sky,2015-08-15 16:00:08.066725,I-90 E,75.3 miles,1 h 41 min,1 h 25 min - 2 h 2 min,"https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6670246,-87.5752207,21793m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.5196769!2d41.6667998!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0",75.3,101
62,10,25,TRI,2015-08-15 16:00:09.404588,I-294 S,84.0 miles,1 h 33 min,1 h 29 min - 1 h 48 min,"https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.603016,-87.6500442,30831m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!3m4!1m2!1d-87.6814751!2d41.5900496!3s0x880e22bcf4cff9ab:0x47a433f6a4e72a98!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0",84.0,93
116,10,25,BF_DR,2015-08-15 16:00:29.494990,I-94 E,78.0 miles,1 h 44 min,1 h 27 min - 2 h 5 min,"https://www.google.com/maps/dir/7222+W+North+Ave,+River+Forest,+IL+60305/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6130191,-87.7121141,87224m/data=!3m2!1e3!4b1!4m16!4m15!1m5!1m1!1s0x880fcb25570977f3:0x10fdb8dca6538f8e!2m2!1d-87.8069089!2d41.9088826!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!2m1!2b1!3e0",78.0,104
66,10,26,TRI,2015-08-15 16:00:10.996150,I-294 S and I-80 E,62.3 miles,1 h 10 min,1 h 5 min - 1 h 22 min,"https://www.google.com/maps/dir/Illinois/41.5881995,-87.1836656/@41.5835745,-87.5983989,13z/data=!4m14!4m13!1m10!1m1!1s0x880fcb3aab19bf79:0xc0579f47b57bbe43!2m2!1d-87.805741!2d41.9087615!3m4!1m2!1d-87.5840727!2d41.5776086!3s0x880e21d5d85ef9ef:0x75a5225f57eddfd3!1m0!3e0",62.3,70
83,10,26,Sky,2015-08-15 16:00:17.072487,I-90 E,50.3 miles,1 h 15 min,59 min - 1 h 31 min,"https://www.google.com/maps/dir/Illinois/41.5881995,-87.1836656/@41.7138835,-87.6695308,9.75z/data=!4m14!4m13!1m10!1m1!1s0x880fcb3aab19bf79:0xc0579f47b57bbe43!2m2!1d-87.805741!2d41.9087615!3m4!1m2!1d-87.519663!2d41.6667606!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m0!3e0",50.3,75
139,10,26,BF_DR,2015-08-15 16:00:37.925131,I-94 E,56.3 miles,1 h 20 min,1 h 4 min - 1 h 40 min,"https://www.google.com/maps/dir/Illinois/41.5881995,-87.1836656/@41.6589406,-87.5715078,11z/data=!4m11!4m10!1m5!1m1!1s0x880fcb3aab19bf79:0xc0579f47b57bbe43!2m2!1d-87.805741!2d41.9087615!1m0!2m1!2b1!3e0",56.3,80
