,Origin,Destination,ShortName,TimeRetr,Route,Dist,CurrentTime,TimeRange,url,nDist,nTime
150,3,24,BF_DR,2015-08-15 16:00:41.773878,I-290 E,74.6 miles,1 h 56 min,1 h 35 min - 2 h 39 min,"https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.4738728,-87.5924232,36643m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.5211342!2d41.4356071!3s0x8811e2959c1b780d:0x5adc48436e904956!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!2m1!2b1!3e0",74.6,116
160,3,24,TRI,2015-08-15 16:00:45.447696,I-294 S,68.1 miles,1 h 21 min,1 h 18 min - 1 h 35 min,"https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6179413,-87.7475784,15430m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.7253857!2d41.6520712!3s0x880e3c9b13abcd19:0x3ca3c2c7bf9d6fca!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0",68.1,81
29,3,25,TRI,2015-08-15 15:59:57.402130,I-294 S,89.7 miles,1 h 30 min,1 h 29 min - 1 h 42 min,"https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6108226,-87.7230814,12984m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.725502!2d41.6522766!3s0x880e3c9b13abcd19:0x3ca3c2c7bf9d6fca!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0",89.7,90
100,3,25,Sky,2015-08-15 16:00:23.571526,I-90 E,94.9 miles,2 h 2 min,1 h 43 min - 2 h 38 min,"https://www.google.com/maps/dir/189+Fullerton+Ave,+Glendale+Heights,+IL+60139/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6650048,-87.6127608,25912m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880faca4b73fe245:0xe2ddecf941bf48a1!2m2!1d-88.0803339!2d41.9175625!3m4!1m2!1d-87.5208589!2d41.6701449!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0",94.9,122
64,3,26,TRI,2015-08-15 16:00:10.183536,I-294 S and I-80 E,68.2 miles,1 h 7 min,1 h 6 min - 1 h 18 min,"https://www.google.com/maps/dir/Glendale+Heights,+IL+60139/41.5881995,-87.1836656/@41.6109297,-87.7194166,12.75z/data=!4m14!4m13!1m10!1m1!1s0x880faca4bef686ed:0x2f675883a2272136!2m2!1d-88.0813785!2d41.9175173!3m4!1m2!1d-87.7251644!2d41.6516607!3s0x880e3c9b05144d9f:0xaf5b7e60492537c6!1m0!3e0",68.2,67
79,3,26,Sky,2015-08-15 16:00:15.662452,I-90 E,70.2 miles,1 h 35 min,1 h 18 min - 2 h 9 min,"https://www.google.com/maps/dir/Glendale+Heights,+IL+60139/41.5881995,-87.1836656/@41.6707077,-87.6618258,12z/data=!4m14!4m13!1m10!1m1!1s0x880faca4bef686ed:0x2f675883a2272136!2m2!1d-88.0813785!2d41.9175173!3m4!1m2!1d-87.520385!2d41.6688043!3s0x8811d8bf4129bfed:0xe9a1a6b776b79943!1m0!3e0",70.2,95
94,4,20,BF_DR,2015-08-15 16:00:21.370278,I-94 E,15.1 miles,28 min,25 - 38 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/41.658386,+-87.559140/@41.7304322,-87.6522639,21768m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5945045!2d41.7105107!3s0x880e26416642eb95:0xa6e526788be0fccc!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",15.1,28
108,4,20,Sky,2015-08-15 16:00:26.423891,S Torrence Ave,10.8 miles,27 min,26 - 34 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/41.658386,+-87.559140/@41.7030618,-87.5865966,9163m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5595633!2d41.700255!3s0x880e27a201c744c3:0x545c2cdde974206b!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",10.8,27
133,4,20,BF,2015-08-15 16:00:35.703117,S Stony Island Ave,12.1 miles,30 min,26 - 40 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/41.658386,+-87.559140/@41.6770288,-87.5760899,10903m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5905005!2d41.7040869!3s0x880e265aa4baefc7:0x4e8b3d8b310cc160!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",12.1,30
16,4,21,LS,2015-08-15 15:59:52.360762,US-41 S,26.7 miles,58 min,51 min - 1 h 9 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6527469,-87.5101602,21766m/data=!3m1!1e3!4m24!4m23!1m15!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5414756!2d41.7275184!3s0x880e27f8fa97f937:0xeeef6d39d159c414!3m4!1m2!1d-87.480879!2d41.6437612!3s0x8811dec83d576373:0x52d64bc656227e56!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0",26.7,58
51,4,21,Sky,2015-08-15 16:00:05.486585,I-90 E,25.4 miles,40 min,38 - 49 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6667489,-87.5844846,18332m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5195946!2d41.6665668!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0",25.4,40
107,4,21,BF_DR,2015-08-15 16:00:26.127865,I-94 E,32.5 miles,45 min,42 - 56 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6557475,-87.5782109,21753m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.592314!2d41.7072353!3s0x880e2644ee07d423:0xb6e8b481741e5451!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0",32.5,45
3,4,22,LS,2015-08-15 15:59:47.756257,US-41 S,23.0 miles,59 min,52 min - 1 h 10 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6936797,-87.5080703,18331m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.4820112!2d41.6408087!3s0x8811dec7089bcdbd:0xae14dc0db9abb344!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!2m1!1b1!3e0",23.0,59
104,4,22,Sky,2015-08-15 16:00:25.009562,I-90 E,23.2 miles,34 min,32 - 41 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6016968,-87.3380993,1145m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.3403514!2d41.6053876!3s0x8811c255fdb97b6b:0x5e950d89c8176c7b!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0",23.2,34
121,4,22,BF_DR,2015-08-15 16:00:31.389865,I-94 E,34.6 miles,50 min,45 min - 1 h 2 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6112525,-87.5701592,15419m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5785843!2d41.640643!3s0x880e20d8ae494f1f:0xe04c790bc9eb5adc!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!2m1!2b1!3e0",34.6,50
5,4,23,BF_DR,2015-08-15 15:59:48.426816,S Stony Island Ave,18.1 miles,44 min,40 - 58 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6820147,-87.5234255,10871m/data=!3m1!1e3!4m31!4m30!1m20!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5933416!2d41.7013604!3s0x880e265be9a7d19d:0xc8bdca6536a274c9!3m4!1m2!1d-87.5989645!2d41.6911087!3s0x880e26f4b2808481:0x9b3e8c89cc2c6bac!3m4!1m2!1d-87.5964077!2d41.6687035!3s0x880e26c723dda8bf:0x5f993ad976201c08!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0",18.1,44
128,4,23,LS,2015-08-15 16:00:33.868408,US-41 S,15.5 miles,43 min,38 - 54 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.7226908,-87.5409758,3855m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5391208!2d41.7260443!3s0x880e27f87c7c1767:0x7dfc6905b4f90c04!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0",15.5,43
155,4,23,Sky,2015-08-15 16:00:43.614831,I-90 W,16.0 miles,30 min,28 - 36 min,"https://www.google.com/maps/dir/899+E+Chicago+Ave,+East+Chicago,+IN+46312/5527+S+Kimbark+Ave,+Chicago,+IL+60637/@41.5739042,-87.5425192,41518m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3m4!1m2!1d-87.5160776!2d41.6574089!3s0x8811d8cbc118247f:0x84828c4ea6bfcc93!1m5!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3e0",16.0,30
0,4,24,BF_DR,2015-08-15 15:59:46.662450,I-94 E,42.0 miles,1 h 6 min,1 h 1 min - 1 h 22 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.5567292,-87.580194,1149m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5836742!2d41.5563297!3s0x880e1f0b70af4f9b:0x55c8c29d6dbd448c!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0",42.0,66
112,4,24,Sky,2015-08-15 16:00:27.783383,I-90 E and I-65 S,48.6 miles,1 h 5 min,1 h 3 min - 1 h 15 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6577976,-87.5817707,10922m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5192155!2d41.6654932!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0",48.6,65
134,4,24,LS,2015-08-15 16:00:36.074025,US-41 S,37.7 miles,1 h 22 min,1 h 15 min - 1 h 37 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6707631,-87.5044334,9172m/data=!3m1!1e3!4m26!4m25!1m15!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5417332!2d41.7276517!3s0x880e27f8fa97f937:0xeeef6d39d159c414!3m4!1m2!1d-87.5190215!2d41.6976081!3s0x8811d85e22d4a6b7:0x954b9993e6a02f35!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!2m1!2b1!3e0",37.7,82
41,4,25,BF_DR,2015-08-15 16:00:01.670219,State Road 2 W,69.7 miles,1 h 37 min,1 h 31 min - 1 h 54 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.3893202,-87.5203613,43690m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.4688971!2d41.304002!3s0x8811fecfc0cb7813:0xfc15b0a87df63add!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!2m1!2b1!3e0",69.7,97
68,4,25,LS,2015-08-15 16:00:11.727623,I-94 E,64.3 miles,1 h 26 min,1 h 21 min - 1 h 40 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/41.3183176,-87.0270319/@41.250981,-86.9874747,30871m/data=!3m1!1e3!4m16!4m15!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5416755!2d41.727622!3s0x880e27f8fa97f937:0xeeef6d39d159c414!1m0!2m1!2b1!3e0",64.3,86
148,4,25,Sky,2015-08-15 16:00:40.997612,I-90 E and IN-49 S,57.7 miles,1 h 9 min,1 h 6 min - 1 h 21 min,"https://www.google.com/maps/dir/5527+S+Kimbark+Ave,+Chicago,+IL+60637/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6635793,-87.4881355,12991m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2914a3cdd94d:0x8367567039a0c5e1!2m2!1d-87.594302!2d41.794155!3m4!1m2!1d-87.5193942!2d41.6659992!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0",57.7,69
37,4,26,Sky,2015-08-15 16:00:00.222627,I-90 E,33.1 miles,43 min,41 - 52 min,"https://www.google.com/maps/dir/41.794184,-87.5949024/41.5881995,-87.1836656/@41.6743649,-87.5661762,12.25z/data=!4m9!4m8!1m5!3m4!1m2!1d-87.5193842!2d41.6659709!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m0!3e0",33.1,43
52,4,26,BF_DR,2015-08-15 16:00:05.848242,I-94 E,41.9 miles,53 min,49 min - 1 h 6 min,"https://www.google.com/maps/dir/41.794184,-87.5949024/41.5881995,-87.1836656/@41.6074952,-87.5708742,12.5z/data=!4m11!4m10!1m5!3m4!1m2!1d-87.5788698!2d41.5793682!3s0x880e202b1cd1c9f3:0x3893de4e8591ce88!1m0!2m1!2b1!3e0",41.9,53
55,4,26,LS,2015-08-15 16:00:06.943727,I-94 E,36.7 miles,1 h 3 min,59 min - 1 h 16 min,"https://www.google.com/maps/dir/41.794184,-87.5949024/41.5881995,-87.1836656/@41.6520349,-87.5010196,12.25z/data=!4m11!4m10!1m5!3m4!1m2!1d-87.5352866!2d41.7207119!3s0x8811d80948872e19:0xf7ef121c182526cc!1m0!2m1!2b1!3e0",36.7,63
30,5,20,BF_DR,2015-08-15 15:59:57.765732,I-94 E,14.5 miles,23 min,20 - 31 min,"https://www.google.com/maps/dir/Sherman+Dr,+Chicago,+IL+60609/41.658386,+-87.559140/@41.6855303,-87.601382,18316m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2e8ab2543987:0xfdcf1ab06595c032!2m2!1d-87.6555058!2d41.7967232!3m4!1m2!1d-87.5751658!2d41.6591962!3s0x880e272b92d5d5cf:0x4735572d50825157!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",14.5,23
140,5,20,Sky,2015-08-15 16:00:38.270887,I-90 E and S Torrence Ave,13.0 miles,26 min,24 - 31 min,"https://www.google.com/maps/dir/Sherman+Dr,+Chicago,+IL+60609/41.658386,+-87.559140/@41.7119279,-87.6121603,7700m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2e8ab2543987:0xfdcf1ab06595c032!2m2!1d-87.6555058!2d41.7967232!3m4!1m2!1d-87.5596408!2d41.7057511!3s0x880e27bd5738ec01:0xe75a34964be440aa!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",13.0,26
86,5,21,Sky,2015-08-15 16:00:18.227962,I-90 E,27.6 miles,39 min,36 - 46 min,"https://www.google.com/maps/dir/Sherman+Dr,+Chicago,+IL+60609/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.6555091,-87.6031892,25890m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2e8ab2543987:0xfdcf1ab06595c032!2m2!1d-87.6555058!2d41.7967232!3m4!1m2!1d-87.5192623!2d41.6656257!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0",27.6,39
142,5,21,BF_DR,2015-08-15 16:00:38.905027,I-94 E,31.9 miles,40 min,37 - 49 min,"https://www.google.com/maps/dir/Sherman+Dr,+Chicago,+IL+60609/Gleason+Park,+3400+Jefferson+Street,+Gary,+IN+46406/@41.642086,-87.5417491,10904m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2e8ab2543987:0xfdcf1ab06595c032!2m2!1d-87.6555058!2d41.7967232!3m4!1m2!1d-87.5785879!2d41.6410608!3s0x880e20d8ae494f1f:0xe04c790bc9eb5adc!1m5!1m1!1s0x8811e9d33a4155a9:0xd2b45f5dbe15a037!2m2!1d-87.3406427!2d41.5638849!3e0",31.9,40
31,5,22,Sky,2015-08-15 15:59:58.102220,I-90 E,25.5 miles,32 min,30 - 39 min,"https://www.google.com/maps/dir/Sherman+Dr,+Chicago,+IL+60609/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.6385849,-87.5793085,12971m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2e8ab2543987:0xfdcf1ab06595c032!2m2!1d-87.6555058!2d41.7967232!3m4!1m2!1d-87.5198657!2d41.6673344!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!3e0",25.5,32
44,5,22,BF_DR,2015-08-15 16:00:02.812269,I-94 E,34.0 miles,44 min,41 - 55 min,"https://www.google.com/maps/dir/Sherman+Dr,+Chicago,+IL+60609/598+E+Dunes+Hwy,+Gary,+IN+46402/@41.5638943,-87.6484955,25891m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2e8ab2543987:0xfdcf1ab06595c032!2m2!1d-87.6555058!2d41.7967232!3m4!1m2!1d-87.5818546!2d41.5812292!3s0x880e21d37e442af7:0xa90a8233768ff7ce!1m5!1m1!1s0x8811c24fc629e9c3:0xf804ea068e5e7b8c!2m2!1d-87.329723!2d41.6020873!2m1!2b1!3e0",34.0,44
32,5,23,BF_DR,2015-08-15 15:59:58.467883,I-94 E,20.5 miles,38 min,34 - 49 min,"https://www.google.com/maps/dir/Sherman+Dr,+Chicago,+IL+60609/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6316693,-87.5654879,7702m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2e8ab2543987:0xfdcf1ab06595c032!2m2!1d-87.6555058!2d41.7967232!3m4!1m2!1d-87.5321909!2d41.6385005!3s0x8811df5c6e568d33:0x5ef39bad60a63fa1!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!2m1!2b1!3e0",20.5,38
87,5,23,Sky,2015-08-15 16:00:18.840547,I-90 E,18.5 miles,30 min,28 - 36 min,"https://www.google.com/maps/dir/Sherman+Dr,+Chicago,+IL+60609/899+E+Chicago+Ave,+East+Chicago,+IN+46312/@41.6412359,-87.5477879,10906m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2e8ab2543987:0xfdcf1ab06595c032!2m2!1d-87.6555058!2d41.7967232!3m4!1m2!1d-87.5187557!2d41.6641573!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811de9e69995165:0xc148f9a2c0dc6d25!2m2!1d-87.4617361!2d41.6292353!3e0",18.5,30
67,5,24,Sky,2015-08-15 16:00:11.375067,I-90 E and I-65 S,50.9 miles,1 h 3 min,1 h 1 min - 1 h 13 min,"https://www.google.com/maps/dir/Sherman+Dr,+Chicago,+IL+60609/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.6277239,-87.4745655,43663m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2e8ab2543987:0xfdcf1ab06595c032!2m2!1d-87.6555058!2d41.7967232!3m4!1m2!1d-87.5188337!2d41.6643866!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0",50.9,63
125,5,24,BF_DR,2015-08-15 16:00:32.808681,I-94 E,41.4 miles,1 h,56 min - 1 h 15 min,"https://www.google.com/maps/dir/Sherman+Dr,+Chicago,+IL+60609/14500+Morse+St,+Cedar+Lake,+IN+46303/@41.5112788,-87.5182244,29967m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2e8ab2543987:0xfdcf1ab06595c032!2m2!1d-87.6555058!2d41.7967232!3m4!1m2!1d-87.5837078!2d41.5632573!3s0x880e1f76a94c0da9:0x91e52f09add247ad!1m5!1m1!1s0x8811fbb4df27c617:0x9c37d3a830923b1c!2m2!1d-87.4218064!2d41.3551184!3e0",41.4,60
12,5,25,Sky,2015-08-15 15:59:50.963284,I-90 E and IN-49 S,59.9 miles,1 h 6 min,1 h 5 min - 1 h 18 min,"https://www.google.com/maps/dir/Sherman+Dr,+Chicago,+IL+60609/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.6570837,-87.5525632,10924m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e2e8ab2543987:0xfdcf1ab06595c032!2m2!1d-87.6555058!2d41.7967232!3m4!1m2!1d-87.5193972!2d41.6660078!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!3e0",59.9,66
70,5,25,BF_DR,2015-08-15 16:00:12.493731,I-94 E,62.7 miles,1 h 10 min,1 h 7 min - 1 h 22 min,"https://www.google.com/maps/dir/Sherman+Dr,+Chicago,+IL+60609/199+E+Indiana+Ave,+Kouts,+IN+46347/@41.217452,-87.4662759,87286m/data=!3m1!1e3!4m21!4m20!1m10!1m1!1s0x880e2e8ab2543987:0xfdcf1ab06595c032!2m2!1d-87.6555058!2d41.7967232!3m4!1m2!1d-87.2404542!2d41.3446359!3s0x8811f345b2db6441:0x3f8733817dc16eb!1m5!1m1!1s0x8811867e866ea59f:0x18dd56f7f4a462dd!2m2!1d-87.0246114!2d41.3183005!2m1!2b1!3e0",62.7,70
127,5,26,Sky,2015-08-15 16:00:33.540288,I-90 E,35.1 miles,41 min,39 - 49 min,"https://www.google.com/maps/dir/41.7946017,-87.658873/41.5881995,-87.1836656/@41.6588539,-87.5594082,12.5z/data=!4m9!4m8!1m5!3m4!1m2!1d-87.5197052!2d41.66688!3s0x8811d8c7efa45113:0x65455df9652b3d6!1m0!3e0",35.1,41
144,5,26,BF_DR,2015-08-15 16:00:39.594332,I-94 E,41.1 miles,47 min,44 - 58 min,"https://www.google.com/maps/dir/41.7946017,-87.658873/41.5881995,-87.1836656/@41.6338343,-87.5870336,12.75z/data=!4m11!4m10!1m5!3m4!1m2!1d-87.5786029!2d41.5792081!3s0x880e202b1cd1c9f3:0x3893de4e8591ce88!1m0!2m1!2b1!3e0",41.1,47
6,6,20,BF_DR,2015-08-15 15:59:48.776979,I-55 N,51.2 miles,1 h 3 min,55 min - 1 h 18 min,"https://www.google.com/maps/dir/1803+Freedom+Dr,+Naperville,+IL+60563/41.658386,+-87.559140/@41.7634086,-87.8815925,30762m/data=!3m1!1e3!4m24!4m23!1m15!1m1!1s0x880e56f521b60a85:0x3e03eb88f00fed78!2m2!1d-88.1267321!2d41.8038172!3m4!1m2!1d-87.8072726!2d41.7967895!3s0x880e36f25514e6f3:0xede737897dfe3db1!3m4!1m2!1d-87.6311473!2d41.8331033!3s0x880e2c13aa7e78d5:0x6ae5df0ec19e9175!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",51.2,63
123,6,20,TRI,2015-08-15 16:00:32.080160,I-294 S,49.4 miles,48 min,48 - 56 min,"https://www.google.com/maps/dir/1803+Freedom+Dr,+Naperville,+IL+60563/41.658386,+-87.559140/@41.5954008,-87.7264791,15410m/data=!3m1!1e3!4m19!4m18!1m10!1m1!1s0x880e56f521b60a85:0x3e03eb88f00fed78!2m2!1d-88.1267321!2d41.8038172!3m4!1m2!1d-87.7251295!2d41.6515876!3s0x880e3c9b05144d9f:0xaf5b7e60492537c6!1m5!1m1!1s0x0:0x0!2m2!1d-87.55914!2d41.658386!3e0",49.4,48
